Line;Peak_1;Peak_2;Peak_3;Peak_4;Peak_5;Peak_6;Peak_7;Peak_8;Peak_9;Peak_10;Peak_11;Peak_12;Peak_13;Peak_14;Peak_15;Peak_16;Peak_17;Peak_18;Peak_19;Peak_20;Peak_21;Peak_22;Peak_23;Peak_24;Peak_25;Peak_26;Peak_27;Peak_28
4;0.0020187;0.0067871;0;0.0015074;0.0722068;0.1685199;0.009216;0.0054089;0.0048667;0.0090602;0.0043725;0.0018308;0.0250001;0.0017657;0.0017233;0.0023726;0.3335644;0.0372872;0.081483;0.0040562;0.0032427;0.0509296;0.0048057;0.0079157;0.0067436;0.0246624;0.1203261;0.0026459
4;0.0022607;0.0070807;0.0006133;0.0026742;0.0619217;0.166001;0.0017336;0.0035107;0.0104672;0.0114101;0.0064211;0.0023464;0.019234;0.0021628;0.0019964;0.0035164;0.340704;0.0300388;0.148499;0.0056512;0.0065812;0.0481883;0.0014323;0.0100082;0.0088605;0.0166959;0.0703105;0.0030068
4;0.0009092;0.0068196;0.0003787;0.0009279;0.0459328;0.2272797;0.0013716;0.0016457;0.0005158;0.009804;0;0.0050893;0.0283772;0.0031756;0.001081;0.0047938;0.2459004;0.0225213;0.0084794;0.020831;0.0135953;0.157545;0.0006954;0.0061751;0.0024472;0.010419;0.1667696;0.0007597
4;0.0027583;0.0095023;0.0006888;0.00258;0.084983;0.1561852;0.0035487;0.006587;0.0088724;0.0171787;0.0074859;0.0033892;0.0250822;0.0044113;0.0015845;0.0024589;0.2542786;0.0362387;0.120455;0.0198228;0.0055775;0.0285011;0.0037695;0.0107705;0.0054958;0.0294389;0.137073;0.0016332
4;0.0007082;0.0033871;0.00085;0.0002776;0.0390956;0.2428734;0.0060577;0.0010315;0.0002699;0.0070417;0;0.0039364;0.0337096;0.0026085;0.0007974;0.0022625;0.2073693;0.0156383;0.0231914;0;0.0107903;0.2049462;0.0005829;0.0030434;0.0012528;0.0087998;0.1759096;0.0004659
4;0.0007294;0.0021774;0.0208182;0.0001459;0.0260674;0.270144;0;0.0015815;0.0000659;0.0014864;0;0.0041663;0.0255426;0.0009477;0.0007851;0.0031457;0.1018377;0.0058973;0.0010027;0.0578011;0.0210214;0.3038418;0.0060117;0.0025165;0.0030572;0.0038458;0.1307958;0.000341
4;0.0102653;0.0238111;0.0019592;0.0130724;0.0276002;0.0490338;0.0019475;0.0331185;0.0435287;0.0141461;0.0224827;0;0.0020514;0;0.0053138;0.0010989;0.0743009;0.0039697;0.3762118;0;0;0.005918;0;0.0245604;0.0290886;0.0340181;0.1920127;0.0104902
4;0.0034795;0.0134753;0.000761;0.0012156;0.0369676;0.0116025;0.0101061;0.0029063;0.0008138;0.0173118;0;0.0011948;0.019387;0.0079052;0.0020224;0.0013303;0.3032795;0.0202196;0.0084855;0.0015122;0.0012406;0.1507315;0.0029554;0.0070105;0.0036818;0.0033519;0.3606875;0.0013405
4;0.0024511;0.0081743;0.0010191;0.0043576;0.0744552;0.2902684;0.0091273;0.0108484;0.0149929;0.0253713;0.0027484;0.0057366;0.0079196;0.003157;0.0033458;0.0044056;0.2019004;0.0330896;0.1147735;0.0060032;0.0055164;0.0068084;0.0021595;0.0121358;0.007206;0.0280824;0.099088;0.0024456
4;0.0020891;0.0061055;0.0037541;0.0002835;0.0217307;0.2539557;0.000619;0.0011479;0.0001432;0.0070968;0;0.0082081;0.0340716;0.0006814;0.0008099;0.004917;0.2771755;0.0084049;0.0024098;0.0326581;0.0203631;0.099792;0;0.0060033;0.0009583;0.0103656;0.1922272;0.0004198
